surah_number,start_page,end_page
1,1,1
2,2,
3,67,
4,105,
5,146,
6,176,
7,208,
8,245,
9,259,
10,287,
11,307,
12,327,
13,345,
14,354,
15,363,
16,371,
17,392,
18,407,
19,424,
20,434,
21,448,
22,461,
23,476,
24,486,
25,500,
26,510,
27,524,
28,536,
29,551,
30,561,
31,570,
32,576,
33,580,
34,596,
35,602,
36,610,
37,617,
38,627,
39,634,
40,646,
41,658,
42,667,
43,676,
44,685,
45,690,
46,696,
47,703,
48,709,
49,715,
50,720,
51,724,
52,728,
53,731,
54,735,
55,739,
56,744,
57,749,
58,756,
59,760,
60,765,
61,769,
62,772,
63,774,
64,776,
65,779,
66,782,
67,786,
68,789,
69,793,
70,798,
71,799,
72,802,
73,805,
74,807,
75,810,
76,812,
77,815,
78,818,
79,819,
80,821,
81,824,
82,825,
83,825,
84,827,
85,828,
86,829,
87,830,
88,831,
89,832,
90,834,
91,835,
92,836,
93,837,
94,837,
95,838,
96,838,
97,839,
98,839,
99,840,
100,841,
101,842,
102,842,
103,843,
104,843,
105,843,
106,844,
107,844,
108,845,
109,845,
110,845,
111,846,
112,846,
113,846,
114,847,
